18:18, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
91270  ,105.401  ,42.2872  ,-68.2665  ,2.45463e+00
88835  ,105.349  ,42.2872  ,-68.8615  ,2.45462e+00
27527  ,105.293  ,42.2872  ,-69.4842  ,2.45453e+00
11175  ,105.795  ,41.0581  ,-69.416  ,2.45428e+00
27530  ,105.405  ,41.9966  ,-69.3639  ,2.45418e+00
55475  ,106.513  ,40.8746  ,-63.0954  ,2.45415e+00
1084  ,106.155  ,42.2872  ,-61.1201  ,2.45398e+00
7337  ,104.851  ,42.2872  ,-76.0279  ,2.45396e+00
46003  ,105.591  ,41.735  ,-68.1779  ,2.45375e+00
86075  ,105.45  ,42.0436  ,-68.2581  ,2.45367e+00
72923  ,105.398  ,42.0436  ,-68.853  ,2.45367e+00
87252  ,106.453  ,41.2872  ,-61.6277  ,2.45302e+00
62871  ,105.233  ,41.2872  ,-75.58  ,2.45299e+00
61630  ,105.651  ,41.858  ,-66.5846  ,2.45299e+00
61427  ,105.377  ,41.7969  ,-69.7927  ,2.45282e+00
2305  ,105.405  ,42.2872  ,-67.1446  ,2.45282e+00
81546  ,105.02  ,42.2872  ,-71.9364  ,2.45278e+00
61429  ,105.489  ,41.5063  ,-69.6725  ,2.45251e+00
